"Collection_id","NomorBarcode","Title","Subject"
"62730","348606211","Globalisasi wujud imprealisme baru, peran negara dalam pembangunan ","INDONESIA - ECONOMIC CONDITIONS"
"68322","009411211","Globalisasi: Peluang atau ancaman bagi Indonesia ","INDONESIA - ECONOMIC CONDITION"
"218129","0056112211","Prinsip-prinsip pragmatik / Geoffrey Leech","PRAGMATIK"
"292850","0179251211","Lelaki Harimau / Eka Kurniawan","FIKSI INDONESIA"
"210893","1096081211","Arok Dedes / Pramoedya Ananta Toer","FIKSI INDONESIA"
"236087","003819211","Hindia Belanda 1930 / J. Stroomberg; Heri Apriyono (terj.); Bagus Pradana (editor)","DUTCH EAST INDIES"
"250934","408319111","Rahasia Salinem / Brilliant Yotenega","FICTIONS"
"117497","7185111712","Asian strom : the economic crisis examined / Philippe Ries","ASIA-ECONOMIC CONDITIONS"
"279513","005123812","The Adventures of Huckleberry Finn / Mark Twain","FICTION"
"36784","127601211","Makroekonomi ","MACROECONOMICS"
"217512","0013132221","Pengantar linguistik umum / Ferdinand De Saussure","LINGUISTIK"
"282757","0163241211","Linguistik Forensik :  Memahami Forensik Berbasis Teks Dengan Analogi DNA / Mahsun","LINGUISTIK"
"266335","123220211","Mikologi :  Dasar dan terapan / Indrawati Gandjar Roosheroe; Wellyzar Sjamsuridzal; Ariyanti Oetari","MYCOLOGY -- FUNGI"
"14225","189192111","Metode kultur jaringan tanaman","tanaman - perkembangbiakan"
"266053","016820291","Ensiklopedia Jus Buah dan Sayur Untuk Penyembuhan: Kiat Hidup Lebih Sehat Dengan Terapi Jus / Abednego Bangun","JUICERS"
"233212","220118211","Proses Keperawatan dan Pemeriksaan Fisik / Oda Debora","SURGICAL NURSING"
"1467","028016211","Asuhan Keperawatan Intra Operasi di Kamar Bedah (selama pembedahan)","SURGICAL NURSING"
"18011","692611211","Psikologi Perawatan","NURSING - PRACTICE"
"275824","175722212","Crime science and digital forensics :  A holistic view / Editors: Anthony C. Ijeh, Kevin Curran","DIGITAL FORENSIC SCIENCE"
"242673","196819211","Membuat skripsi, tesis dan disertasi dengan Partial Least Square SEM (PLS SEM) / Jonathan Sarwono; Umi Narimawati","RESEARCH METHODS"
"243086","206219211","Metode penelitian kuantitatif :  Pengembangan hipotesis dan pengujiannya menggunakan SmartPLS / Paulus Insap Santosa; Giovanny (editor)","RESEARCH - METHODOLOGY"
"145376","069115212","Forensic Science and the Administration of Justice : Critical Issues and Directions / Kevin J. Strom","CRIMINALISTICS"
"293059","067625212","The Basics of Digital Forensics :  The Primer for Getting Started in Digital Forensics / John Sammons","COMPUTER CRIMES -- FORENSIC SCIENCES"
